% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
664	1	5	20	0	20	161	0	1	0
664	1	15	12	0	20	161	0	1	0
664	2	12	82	0	20	161	0	1	1
664	2	1	87	0	20	161	0	1	1
665	1	7	29	0	20	161	0	1	0
665	1	9	39	0	20	161	0	1	0
665	2	6	91	0	20	161	0	1	1
665	2	13	94	0	20	161	0	1	1
666	1	2	50	0	20	161	0	1	0
666	1	11	58	0	20	161	0	1	0
666	2	14	1	0	20	161	0	1	1
666	2	3	96	0	20	161	0	1	1
667	1	8	71	0	20	161	0	1	0
667	1	10	63	0	20	161	0	1	0
667	2	15	12	0	20	161	0	1	1
667	2	5	20	0	20	161	0	1	1
668	1	4	78	0	20	161	0	1	0
668	1	12	82	0	20	161	0	1	0
668	2	7	29	0	20	161	0	1	1
668	2	9	39	0	20	161	0	1	1
669	1	1	87	0	20	161	0	1	0
669	1	6	91	0	20	161	0	1	0
669	2	2	50	0	20	161	0	1	1
669	2	11	58	0	20	161	0	1	1
670	1	3	96	0	20	161	0	1	0
670	1	13	94	0	20	161	0	1	0
670	2	10	63	0	20	161	0	1	1
670	2	8	71	0	20	161	0	1	1
671	1	14	1	0	20	161	0	1	0
671	1	15	12	0	20	161	0	1	0
671	2	4	78	0	20	161	0	1	1
671	2	12	82	0	20	161	0	1	1
672	1	5	20	0	20	161	0	1	0
672	1	7	29	0	20	161	0	1	0
672	2	1	87	0	20	161	0	1	1
672	2	6	91	0	20	161	0	1	1
673	1	2	50	0	20	161	0	1	0
673	1	9	39	0	20	161	0	1	0
673	2	13	94	0	20	161	0	1	1
673	2	3	96	0	20	161	0	1	1
674	1	10	63	0	20	161	0	1	0
674	1	11	58	0	20	161	0	1	0
674	2	14	1	0	20	161	0	1	1
674	2	15	12	0	20	161	0	1	1
675	1	4	78	0	20	161	0	1	0
675	1	8	71	0	20	161	0	1	0
675	2	5	20	0	20	161	0	1	1
675	2	7	29	0	20	161	0	1	1
676	1	1	87	0	20	161	0	1	0
676	1	12	82	0	20	161	0	1	0
676	2	9	39	0	20	161	0	1	1
676	2	2	50	0	20	161	0	1	1
677	1	6	91	0	20	161	0	1	0
677	1	13	94	0	20	161	0	1	0
677	2	11	58	0	20	161	0	1	1
677	2	10	63	0	20	161	0	1	1
678	1	3	96	0	20	161	0	1	0
678	1	14	1	0	20	161	0	1	0
678	2	8	71	0	20	161	0	1	1
678	2	4	78	0	20	161	0	1	1
679	1	5	20	0	20	161	0	1	0
679	1	15	12	0	20	161	0	1	0
679	2	12	82	0	20	161	0	1	1
679	2	1	87	0	20	161	0	1	1
680	1	7	29	0	20	161	0	1	0
680	1	9	39	0	20	161	0	1	0
680	2	6	91	0	20	161	0	1	1
680	2	13	94	0	20	161	0	1	1
681	1	2	50	0	20	161	0	1	0
681	1	11	58	0	20	161	0	1	0
681	2	14	1	0	20	161	0	1	1
