% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
669	1	4	78	0	28	549	0	1	0
669	2	4	78	0	28	549	0	1	1
670	1	9	39	0	28	549	0	1	0
670	2	9	39	0	28	549	0	1	1
671	1	12	82	0	28	549	0	1	0
671	2	12	82	0	28	549	0	1	1
672	1	2	50	0	28	549	0	1	0
672	2	2	50	0	28	549	0	1	1
673	1	14	1	0	28	549	0	1	0
673	2	14	1	0	28	549	0	1	1
674	1	1	87	0	28	549	0	1	0
674	2	1	87	0	28	549	0	1	1
675	1	11	58	0	28	549	0	1	0
675	2	11	58	0	28	549	0	1	1
676	1	15	12	0	28	549	0	1	0
676	2	15	12	0	28	549	0	1	1
677	1	6	91	0	28	549	0	1	0
677	2	6	91	0	28	549	0	1	1
678	1	10	63	0	28	549	0	1	0
678	2	10	63	0	28	549	0	1	1
679	1	5	20	0	28	549	0	1	0
679	2	5	20	0	28	549	0	1	1
680	1	13	94	0	28	549	0	1	0
680	2	13	94	0	28	549	0	1	1
681	1	3	96	0	28	549	0	1	0
681	2	3	96	0	28	549	0	1	1
682	1	8	71	0	28	549	0	1	0
682	2	8	71	0	28	549	0	1	1
683	1	7	29	0	28	549	0	1	0
683	2	7	29	0	28	549	0	1	1
684	1	4	78	0	28	549	0	1	0
684	2	4	78	0	28	549	0	1	1
685	1	9	39	0	28	549	0	1	0
685	2	9	39	0	28	549	0	1	1
686	1	12	82	0	28	549	0	1	0
686	2	12	82	0	28	549	0	1	1
687	1	2	50	0	28	549	0	1	0
687	2	2	50	0	28	549	0	1	1
688	1	14	1	0	28	549	0	1	0
688	2	14	1	0	28	549	0	1	1
689	1	1	87	0	28	549	0	1	0
689	2	1	87	0	28	549	0	1	1
690	1	11	58	0	28	549	0	1	0
690	2	11	58	0	28	549	0	1	1
691	1	15	12	0	28	549	0	1	0
691	2	15	12	0	28	549	0	1	1
692	1	6	91	0	28	549	0	1	0
692	2	6	91	0	28	549	0	1	1
693	1	10	63	0	28	549	0	1	0
693	2	10	63	0	28	549	0	1	1
694	1	5	20	0	28	549	0	1	0
694	2	5	20	0	28	549	0	1	1
695	1	13	94	0	28	549	0	1	0
695	2	13	94	0	28	549	0	1	1
696	1	3	96	0	28	549	0	1	0
696	2	3	96	0	28	549	0	1	1
697	1	8	71	0	28	549	0	1	0
697	2	8	71	0	28	549	0	1	1
698	1	7	29	0	28	549	0	1	0
698	2	7	29	0	28	549	0	1	1
699	1	4	78	0	28	549	0	1	0
699	2	4	78	0	28	549	0	1	1
700	1	9	39	0	28	549	0	1	0
700	2	9	39	0	28	549	0	1	1
701	1	12	82	0	28	549	0	1	0
701	2	12	82	0	28	549	0	1	1
702	1	2	50	0	28	549	0	1	0
702	2	2	50	0	28	549	0	1	1
703	1	14	1	0	28	549	0	1	0
703	2	14	1	0	28	549	0	1	1
704	1	1	87	0	28	549	0	1	0
704	2	1	87	0	28	549	0	1	1
705	1	11	58	0	28	549	0	1	0
705	2	11	58	0	28	549	0	1	1
706	1	15	12	0	28	549	0	1	0
706	2	15	12	0	28	549	0	1	1
707	1	6	91	0	28	549	0	1	0
707	2	6	91	0	28	549	0	1	1
708	1	10	63	0	28	549	0	1	0
708	2	10	63	0	28	549	0	1	1
709	1	5	20	0	28	549	0	1	0
709	2	5	20	0	28	549	0	1	1
710	1	13	94	0	28	549	0	1	0
710	2	13	94	0	28	549	0	1	1
711	1	3	96	0	28	549	0	1	0
711	2	3	96	0	28	549	0	1	1
712	1	8	71	0	28	549	0	1	0
712	2	8	71	0	28	549	0	1	1
713	1	7	29	0	28	549	0	1	0
713	2	7	29	0	28	549	0	1	1
714	1	4	78	0	28	549	0	1	0
714	2	4	78	0	28	549	0	1	1
715	1	9	39	0	28	549	0	1	0
715	2	9	39	0	28	549	0	1	1
716	1	12	82	0	28	549	0	1	0
716	2	12	82	0	28	549	0	1	1
717	1	2	50	0	28	549	0	1	0
717	2	2	50	0	28	549	0	1	1
718	1	14	1	0	28	549	0	1	0
718	2	14	1	0	28	549	0	1	1
719	1	1	87	0	28	549	0	1	0
719	2	1	87	0	28	549	0	1	1
720	1	11	58	0	28	549	0	1	0
720	2	11	58	0	28	549	0	1	1
721	1	15	12	0	28	549	0	1	0
721	2	15	12	0	28	549	0	1	1
722	1	6	91	0	28	549	0	1	0
722	2	6	91	0	28	549	0	1	1
723	1	10	63	0	28	549	0	1	0
723	2	10	63	0	28	549	0	1	1
724	1	5	20	0	28	549	0	1	0
724	2	5	20	0	28	549	0	1	1
725	1	13	94	0	28	549	0	1	0
725	2	13	94	0	28	549	0	1	1
726	1	3	96	0	28	549	0	1	0
726	2	3	96	0	28	549	0	1	1
727	1	8	71	0	28	549	0	1	0
727	2	8	71	0	28	549	0	1	1
728	1	7	29	0	28	549	0	1	0
728	2	7	29	0	28	549	0	1	1
729	1	4	78	0	28	549	0	1	0
729	2	4	78	0	28	549	0	1	1
730	1	9	39	0	28	549	0	1	0
730	2	9	39	0	28	549	0	1	1
731	1	12	82	0	28	549	0	1	0
731	2	12	82	0	28	549	0	1	1
732	1	2	50	0	28	549	0	1	0
732	2	2	50	0	28	549	0	1	1
733	1	14	1	0	28	549	0	1	0
733	2	14	1	0	28	549	0	1	1
734	1	1	87	0	28	549	0	1	0
734	2	1	87	0	28	549	0	1	1
735	1	11	58	0	28	549	0	1	0
735	2	11	58	0	28	549	0	1	1
736	1	15	12	0	28	549	0	1	0
736	2	15	12	0	28	549	0	1	1
737	1	6	91	0	28	549	0	1	0
737	2	6	91	0	28	549	0	1	1
738	1	10	63	0	28	549	0	1	0
738	2	10	63	0	28	549	0	1	1
739	1	5	20	0	28	549	0	1	0
739	2	5	20	0	28	549	0	1	1
740	1	13	94	0	28	549	0	1	0
740	2	13	94	0	28	549	0	1	1
741	1	3	96	0	28	549	0	1	0
741	2	3	96	0	28	549	0	1	1
742	1	8	71	0	28	549	0	1	0
742	2	8	71	0	28	549	0	1	1
743	1	7	29	0	28	549	0	1	0
743	2	7	29	0	28	549	0	1	1
744	1	4	78	0	28	549	0	1	0
744	2	4	78	0	28	549	0	1	1
745	1	9	39	0	28	549	0	1	0
745	2	9	39	0	28	549	0	1	1
746	1	12	82	0	28	549	0	1	0
746	2	12	82	0	28	549	0	1	1
747	1	2	50	0	28	549	0	1	0
747	2	2	50	0	28	549	0	1	1
748	1	14	1	0	28	549	0	1	0
748	2	14	1	0	28	549	0	1	1
749	1	1	87	0	28	549	0	1	0
749	2	1	87	0	28	549	0	1	1
750	1	11	58	0	28	549	0	1	0
750	2	11	58	0	28	549	0	1	1
751	1	15	12	0	28	549	0	1	0
751	2	15	12	0	28	549	0	1	1
752	1	6	91	0	28	549	0	1	0
752	2	6	91	0	28	549	0	1	1
753	1	10	63	0	28	549	0	1	0
753	2	10	63	0	28	549	0	1	1
754	1	5	20	0	28	549	0	1	0
754	2	5	20	0	28	549	0	1	1
755	1	13	94	0	28	549	0	1	0
755	2	13	94	0	28	549	0	1	1
756	1	3	96	0	28	549	0	1	0
